Position Name,Salary,Job Type,Shift & Schedule,Company,Location,Rating,URL,"ID",Posted At,Scraped At,Short Description,External Apply Link
STORE KEEPER,".css-1ihavw2{box-sizing:border-box;margin:0;min-width:0;display:-webkit-inline-box;display:-webkit-inline-flex;display:-ms-inline-flexbox;display:inline-flex;background-color:#f3f2f1;border-radius:0.25rem;-webkit-align-items:center;-webkit-box-align:center;-ms-flex-align:center;align-items:center;font-size:0.875rem;font-weight:700;line-height:1.3125rem;color:#595959;padding:0.1875rem 0.5rem;margin-right:0.25rem;margin-bottom:0.25rem;}.css-1ihavw2 svg{width:1rem;max-height:1.25rem;}[dir=""ltr""] .css-1ihavw2 svg:first-child{margin:0 0 0 0.25rem;}[dir=""rtl""] .css-1ihavw2 svg:first-child{margin:0 0 0 0.25rem;}.css-1ihavw2 svg.jobCardAQSignalIcon-check{margin:0 0 0 0.25rem;}₦80,000 a month",Full-time,,Uncle Stan's food,Lekki,,https://ng.indeed.com/company/Uncle-Stan's-food/jobs/Storekeeper-3d9be5a7c64e9fc8?fccid=f85d1bbf63c6e4a7&vjs=3,3d9be5a7c64e9fc8,EmployerActive 3 days ago,2023-11-21T10:46:21.469Z,"We are looking to hiring a storekeeper who will be responsible in ensuring uninterrupted supply of materials, proper and continuous control over these materials…",ng.indeed.com/applystart?jk=3d9be5a7c64e9fc8
Hotel Attendant,".css-1ihavw2{box-sizing:border-box;margin:0;min-width:0;display:-webkit-inline-box;display:-webkit-inline-flex;display:-ms-inline-flexbox;display:inline-flex;background-color:#f3f2f1;border-radius:0.25rem;-webkit-align-items:center;-webkit-box-align:center;-ms-flex-align:center;align-items:center;font-size:0.875rem;font-weight:700;line-height:1.3125rem;color:#595959;padding:0.1875rem 0.5rem;margin-right:0.25rem;margin-bottom:0.25rem;}.css-1ihavw2 svg{width:1rem;max-height:1.25rem;}[dir=""ltr""] .css-1ihavw2 svg:first-child{margin:0 0 0 0.25rem;}[dir=""rtl""] .css-1ihavw2 svg:first-child{margin:0 0 0 0.25rem;}.css-1ihavw2 svg.jobCardAQSignalIcon-check{margin:0 0 0 0.25rem;}₦90,000 a month",Full-time,,DreamWorks Global Logistics,Lagos,,https://ng.indeed.com/company/DreamWorks-Global-Logistics/jobs/Hotel-Attendant-6c4b29de263156bf?fccid=2c89addeb502018e&vjs=3,6c4b29de263156bf,EmployerActive 2 days ago,2023-11-21T10:46:21.469Z,"Replenish bath care products (e.g. soap and shampoo).
 Restock beverages and food items in the mini-bar.
 Clean public areas, like corridors.",ng.indeed.com/applystart?jk=6c4b29de263156bf
Employé Polyvalent (F/H) – Aix-En-Provence – La Duranne,,,,Appart'city,Lagos,,https://ng.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C0SV4DgYhb81GT0p_rbfz7YYgnB2uVVPnvwqkWvtJaIYdYQTxOQpnMyNcKPtpvmWqT4zCWXYdSIrsWDxr8Sk7uVL3q9GZvxjJOiKNFcTLu1UNGWPequUJKdYEJbhx3LhvOZQftvjTaPdvK2LbKIgPokmqcBtydUCwc7zm3WiAgh3VpbMhPXFibg97Z_684G6z-5x7ojv0LTJK-CZNstT9zef2KXn6SageELScxiBVIoDhgbqCYI5p-gkisA4WTvQoRezHqTk3yzmTMuWyAf3JGwxyOOUer6oyyjou88F2tJeo0tXd9cY2r1fuwHtznyi1mzDGuKOdNWAEVyomhMdfNQSjjyoWZnpvsQUj_5pKwlS9OXL1qp6PyH2H-sV5me6wM1e4lAjRHns-_yLPAKdBxVLqvyno17PBLShsukaGrOAh1Z4b88kx9fEqrVEBfNszSxPfozt9XYm52XKTuVSz2jbwtkFIl6f57sEzpcPEScl7XSAqOZHASUJ9WCvsHrzrknH9MZUCarjAu7TIx35qBGN1JiwPPuPN1tyXlTbI4Lz5PXxYUqI9pqMX075FcMHje7tpfe_M0aFJLsG1OZ6nacsUItQlgRFCRBQL7APkwOi7qRPrMZ4pq&xkcb=SoAe-_M3I4npEewsbR0FbzkdCdPP&p=13&fvj=0&vjs=3,15f75d1edc573188,PostedPosted 30+ days ago,2023-11-21T10:46:21.470Z,"Quel que soit le poste, cette aventure humaine permet à chaque collaborateur d’être force de proposition dans l’amélioration du produit, mais aussi de faire…",ng.indeed.com/applystart?jk=15f75d1edc573188
Executive Assistant to Expatriate,".css-1ihavw2{box-sizing:border-box;margin:0;min-width:0;display:-webkit-inline-box;display:-webkit-inline-flex;display:-ms-inline-flexbox;display:inline-flex;background-color:#f3f2f1;border-radius:0.25rem;-webkit-align-items:center;-webkit-box-align:center;-ms-flex-align:center;align-items:center;font-size:0.875rem;font-weight:700;line-height:1.3125rem;color:#595959;padding:0.1875rem 0.5rem;margin-right:0.25rem;margin-bottom:0.25rem;}.css-1ihavw2 svg{width:1rem;max-height:1.25rem;}[dir=""ltr""] .css-1ihavw2 svg:first-child{margin:0 0 0 0.25rem;}[dir=""rtl""] .css-1ihavw2 svg:first-child{margin:0 0 0 0.25rem;}.css-1ihavw2 svg.jobCardAQSignalIcon-check{margin:0 0 0 0.25rem;}₦200,000 - ₦260,000 a month",Full-time,,Ascentech Services Ltd,Lagos,,https://ng.indeed.com/company/Ascentech-Services-Ltd/jobs/Executive-Assistant-34635209153a40a9?fccid=f0e84bc88bd76fbe&vjs=3,34635209153a40a9,EmployerActive 4 days ago,2023-11-21T10:46:21.470Z,"Coordinate with Business Units for Domestic ticket booking for National and Expats.
 Coordinate with Business Units for International ticket booking Expats.",ng.indeed.com/applystart?jk=34635209153a40a9
Youth Entrepreneurship Program for Business Executive,".css-1ihavw2{box-sizing:border-box;margin:0;min-width:0;display:-webkit-inline-box;display:-webkit-inline-flex;display:-ms-inline-flexbox;display:inline-flex;background-color:#f3f2f1;border-radius:0.25rem;-webkit-align-items:center;-webkit-box-align:center;-ms-flex-align:center;align-items:center;font-size:0.875rem;font-weight:700;line-height:1.3125rem;color:#595959;padding:0.1875rem 0.5rem;margin-right:0.25rem;margin-bottom:0.25rem;}.css-1ihavw2 svg{width:1rem;max-height:1.25rem;}[dir=""ltr""] .css-1ihavw2 svg:first-child{margin:0 0 0 0.25rem;}[dir=""rtl""] .css-1ihavw2 svg:first-child{margin:0 0 0 0.25rem;}.css-1ihavw2 svg.jobCardAQSignalIcon-check{margin:0 0 0 0.25rem;}₦100,000 - ₦500,000 a month",Full-time +1,,Adron Homes and Properties Limited,Ibadan,,https://ng.indeed.com/company/Adron-Homes-and-Properties-Limited/jobs/Business-9cbf4e4e3e553a3b?fccid=63b469f2486907bf&vjs=3,9cbf4e4e3e553a3b,EmployerActive 4 days ago,2023-11-21T10:46:24.557Z,"Your role will involve understanding customer needs, building positive relationships, and conducting sales.
 Minimum OND certificate required (BSC/HND is a plus)…",ng.indeed.com/applystart?jk=9cbf4e4e3e553a3b
Graduate Trainee,".css-1ihavw2{box-sizing:border-box;margin:0;min-width:0;display:-webkit-inline-box;display:-webkit-inline-flex;display:-ms-inline-flexbox;display:inline-flex;background-color:#f3f2f1;border-radius:0.25rem;-webkit-align-items:center;-webkit-box-align:center;-ms-flex-align:center;align-items:center;font-size:0.875rem;font-weight:700;line-height:1.3125rem;color:#595959;padding:0.1875rem 0.5rem;margin-right:0.25rem;margin-bottom:0.25rem;}.css-1ihavw2 svg{width:1rem;max-height:1.25rem;}[dir=""ltr""] .css-1ihavw2 svg:first-child{margin:0 0 0 0.25rem;}[dir=""rtl""] .css-1ihavw2 svg:first-child{margin:0 0 0 0.25rem;}.css-1ihavw2 svg.jobCardAQSignalIcon-check{margin:0 0 0 0.25rem;}₦70,000 - ₦100,000 a month",Full-time,,Eddie patryck communications,Lagos,,https://ng.indeed.com/company/Eddie-patryck-communications/jobs/Graduate-Trainee-a7c848aacd8d0879?fccid=e384417ae9c28d8b&vjs=3,a7c848aacd8d0879,EmployerActive 2 days ago,2023-11-21T10:46:24.557Z,"As a graduate trainee, your responsibilities include shadowing various staff members, participating in learning experiences, attending meetings and workshops,…",ng.indeed.com/applystart?jk=a7c848aacd8d0879
Front Desk Officer,".css-1ihavw2{box-sizing:border-box;margin:0;min-width:0;display:-webkit-inline-box;display:-webkit-inline-flex;display:-ms-inline-flexbox;display:inline-flex;background-color:#f3f2f1;border-radius:0.25rem;-webkit-align-items:center;-webkit-box-align:center;-ms-flex-align:center;align-items:center;font-size:0.875rem;font-weight:700;line-height:1.3125rem;color:#595959;padding:0.1875rem 0.5rem;margin-right:0.25rem;margin-bottom:0.25rem;}.css-1ihavw2 svg{width:1rem;max-height:1.25rem;}[dir=""ltr""] .css-1ihavw2 svg:first-child{margin:0 0 0 0.25rem;}[dir=""rtl""] .css-1ihavw2 svg:first-child{margin:0 0 0 0.25rem;}.css-1ihavw2 svg.jobCardAQSignalIcon-check{margin:0 0 0 0.25rem;}₦75,000 a month",Full-time,,Hillcrest Ventures,Lagos,,https://ng.indeed.com/company/Hillcrest-Ventures/jobs/Front-Desk-Agent-bde3e3a4a1641aa6?fccid=5115814ea617a69e&vjs=3,bde3e3a4a1641aa6,EmployerActive 4 days ago,2023-11-21T10:46:24.558Z,"Greet guests and provide them with superb customer service.
 Ensure the front desk is neat, presentable, and equipped with all the necessary supplies such as…",ng.indeed.com/applystart?jk=bde3e3a4a1641aa6
Strategic Information Optimizer,,,,Jhpiego,Abuja,,https://ng.indeed.com/rc/clk?jk=204e292652a14dd9&fccid=92207d5afc063849&vjs=3,204e292652a14dd9,PostedPosted 30+ days ago,2023-11-21T10:46:24.558Z,RISE is a 5-year global project funded by the U.S. President’s Emergency Plan for AIDS Relief (PEPFAR) and the U.S. Agency for International Development (USAID)…,ng.indeed.com/applystart?jk=204e292652a14dd9
Secretary,".css-1ihavw2{box-sizing:border-box;margin:0;min-width:0;display:-webkit-inline-box;display:-webkit-inline-flex;display:-ms-inline-flexbox;display:inline-flex;background-color:#f3f2f1;border-radius:0.25rem;-webkit-align-items:center;-webkit-box-align:center;-ms-flex-align:center;align-items:center;font-size:0.875rem;font-weight:700;line-height:1.3125rem;color:#595959;padding:0.1875rem 0.5rem;margin-right:0.25rem;margin-bottom:0.25rem;}.css-1ihavw2 svg{width:1rem;max-height:1.25rem;}[dir=""ltr""] .css-1ihavw2 svg:first-child{margin:0 0 0 0.25rem;}[dir=""rtl""] .css-1ihavw2 svg:first-child{margin:0 0 0 0.25rem;}.css-1ihavw2 svg.jobCardAQSignalIcon-check{margin:0 0 0 0.25rem;}₦80,000 a month",Full-time +1,,Stanificent Global Technologies Ltd,Benin City,,https://ng.indeed.com/company/Stanificent-Global-Technologies-Ltd/jobs/Secretary-b78b2e05c6306c31?fccid=5057182e04ed82a7&vjs=3,b78b2e05c6306c31,EmployerActive 6 days ago,2023-11-21T10:46:24.559Z,"Coordinate office activities and provide administrative support to professional and management staff.
 Maintain office records, reports, and stock.",ng.indeed.com/applystart?jk=b78b2e05c6306c31
Inventory Officer,".css-1ihavw2{box-sizing:border-box;margin:0;min-width:0;display:-webkit-inline-box;display:-webkit-inline-flex;display:-ms-inline-flexbox;display:inline-flex;background-color:#f3f2f1;border-radius:0.25rem;-webkit-align-items:center;-webkit-box-align:center;-ms-flex-align:center;align-items:center;font-size:0.875rem;font-weight:700;line-height:1.3125rem;color:#595959;padding:0.1875rem 0.5rem;margin-right:0.25rem;margin-bottom:0.25rem;}.css-1ihavw2 svg{width:1rem;max-height:1.25rem;}[dir=""ltr""] .css-1ihavw2 svg:first-child{margin:0 0 0 0.25rem;}[dir=""rtl""] .css-1ihavw2 svg:first-child{margin:0 0 0 0.25rem;}.css-1ihavw2 svg.jobCardAQSignalIcon-check{margin:0 0 0 0.25rem;}₦50,000 - ₦70,000 a month",Full-time,,Rotic Aluminium,Awka,,https://ng.indeed.com/company/Rotic-Aluminium/jobs/Inventory-Officer-5dac5518d9a59657?fccid=912253c49fcce1ae&vjs=3,5dac5518d9a59657,EmployerActive 5 days ago,2023-11-21T10:46:24.560Z,"The inventory offer role is shift based, successful candidates must be willing to work both day and night shifts on alternative weeks.",ng.indeed.com/applystart?jk=5dac5518d9a59657
2024 - Graduate Trainee Program,,,,Schneider Electric,Lagos,,https://ng.indeed.com/rc/clk?jk=07c8598149996c35&fccid=8dc4399ddb463d4a&vjs=3,07c8598149996c35,PostedPosted 5 days ago,2023-11-21T10:46:24.560Z,"From the simplest of switches to complex operational systems, our technology, software, and services improve the way our customers manage and automate their…",ng.indeed.com/applystart?jk=07c8598149996c35
Junior Process Operator,,,,WTS Energy,Nigeria,,https://ng.indeed.com/rc/clk?jk=a1bc1c18d058803c&fccid=06f79b13e7ee7f0a&vjs=3,a1bc1c18d058803c,PostedToday,2023-11-21T10:46:24.561Z,Execute safe and efficient operation of Production Plant Execute and coordinate actions to maintain utilities and energy sources necessary to support daily…,ng.indeed.com/applystart?jk=a1bc1c18d058803c
IT Officer,,,,RainOil Limited,Lagos,,https://ng.indeed.com/rc/clk?jk=e7a904937e9cd462&fccid=c3225c6b5269aab7&vjs=3,e7a904937e9cd462,PostedPosted 6 days ago,2023-11-21T10:46:24.562Z,"Petroleum Product Storage, Haulage/Distribution and Retail Sales.
 To manage and maintain the network infrastructure of Rainoil, as well as the acquisition,…",ng.indeed.com/applystart?jk=e7a904937e9cd462
OFFICE RECEPTIONIST,".css-1ihavw2{box-sizing:border-box;margin:0;min-width:0;display:-webkit-inline-box;display:-webkit-inline-flex;display:-ms-inline-flexbox;display:inline-flex;background-color:#f3f2f1;border-radius:0.25rem;-webkit-align-items:center;-webkit-box-align:center;-ms-flex-align:center;align-items:center;font-size:0.875rem;font-weight:700;line-height:1.3125rem;color:#595959;padding:0.1875rem 0.5rem;margin-right:0.25rem;margin-bottom:0.25rem;}.css-1ihavw2 svg{width:1rem;max-height:1.25rem;}[dir=""ltr""] .css-1ihavw2 svg:first-child{margin:0 0 0 0.25rem;}[dir=""rtl""] .css-1ihavw2 svg:first-child{margin:0 0 0 0.25rem;}.css-1ihavw2 svg.jobCardAQSignalIcon-check{margin:0 0 0 0.25rem;}₦100,000 - ₦150,000 a month",Full-time,,JSK Consulting Group,Lagos,,https://ng.indeed.com/company/JSK-CONSULTING-GROUP/jobs/Receptionist-d8bb9200d377c2f1?fccid=3da4c48d1c730ecc&vjs=3,d8bb9200d377c2f1,EmployerActive 5 days ago,2023-11-21T10:46:24.562Z,"Schedule meetings, client visits and company events.
 Stock the copy rooms, snack room and lounge.
 Collect and sort all mail and packages.",ng.indeed.com/applystart?jk=d8bb9200d377c2f1
FRONT DESK OFFICER,".css-1ihavw2{box-sizing:border-box;margin:0;min-width:0;display:-webkit-inline-box;display:-webkit-inline-flex;display:-ms-inline-flexbox;display:inline-flex;background-color:#f3f2f1;border-radius:0.25rem;-webkit-align-items:center;-webkit-box-align:center;-ms-flex-align:center;align-items:center;font-size:0.875rem;font-weight:700;line-height:1.3125rem;color:#595959;padding:0.1875rem 0.5rem;margin-right:0.25rem;margin-bottom:0.25rem;}.css-1ihavw2 svg{width:1rem;max-height:1.25rem;}[dir=""ltr""] .css-1ihavw2 svg:first-child{margin:0 0 0 0.25rem;}[dir=""rtl""] .css-1ihavw2 svg:first-child{margin:0 0 0 0.25rem;}.css-1ihavw2 svg.jobCardAQSignalIcon-check{margin:0 0 0 0.25rem;}₦120,000 - ₦150,000 a month",Permanent,,"Novo Car Rentals Ltd, Lekki.",Lekki,,"https://ng.indeed.com/company/Novo-Car-Rentals-Ltd,-Lekki./jobs/Front-Desk-Agent-acaec4f2e03d33b7?fccid=138a263c11b4b0b2&vjs=3",acaec4f2e03d33b7,EmployerActive 7 days ago,2023-11-21T10:46:24.563Z,"Responsible for attending to visitors, client enquiries and ascertaining the level of client satisfaction on rentals done.
 Customer service: 2 years (Required).",ng.indeed.com/applystart?jk=acaec4f2e03d33b7
Waitresses,".css-1ihavw2{box-sizing:border-box;margin:0;min-width:0;display:-webkit-inline-box;display:-webkit-inline-flex;display:-ms-inline-flexbox;display:inline-flex;background-color:#f3f2f1;border-radius:0.25rem;-webkit-align-items:center;-webkit-box-align:center;-ms-flex-align:center;align-items:center;font-size:0.875rem;font-weight:700;line-height:1.3125rem;color:#595959;padding:0.1875rem 0.5rem;margin-right:0.25rem;margin-bottom:0.25rem;}.css-1ihavw2 svg{width:1rem;max-height:1.25rem;}[dir=""ltr""] .css-1ihavw2 svg:first-child{margin:0 0 0 0.25rem;}[dir=""rtl""] .css-1ihavw2 svg:first-child{margin:0 0 0 0.25rem;}.css-1ihavw2 svg.jobCardAQSignalIcon-check{margin:0 0 0 0.25rem;}₦60,000 a month",Full-time,,The Dome Entertainment Limited Abuja,Abuja,,https://ng.indeed.com/company/The-Dome-Entertainment-Limited-Abuja/jobs/Server-ede6b09785ed9e35?fccid=000b97bb78973cfc&vjs=3,ede6b09785ed9e35,PostedPosted 2 days ago,2023-11-21T10:46:24.563Z,"Greet and escort customers to their tables.
 Present menu and provide detailed information when asked (e.g. about portions, ingredients or potential food…",ng.indeed.com/applystart?jk=ede6b09785ed9e35
"Associate, Office Administration, Abuja , Nigeria",,,,UNAIDS,Abuja,,https://ng.indeed.com/rc/clk?jk=518ec689f05dacc8&fccid=8e712cf948e2b785&vjs=3,518ec689f05dacc8,PostedPosted 4 days ago,2023-11-21T10:46:24.564Z,"The UNAIDS Country Office provides leadership and coordinates the expanded UN system response in the Country.
 Produces ad hoc administrative reports as required…",ng.indeed.com/applystart?jk=518ec689f05dacc8
Employé Polyvalent (F/H) – Aix-En-Provence – La Duranne,,,,Appart'city,Lagos,,https://ng.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C0SV4DgYhb81GT0p_rbfz7YYgnB2uVVPnvwqkWvtJaIYdYQTxOQpnMyNcKPtpvmWqT4zCWXYdSIrsWDxr8Sk7uVL3q9GZvxjJOiKNFcTLu1UNGWPequUJKdYEJbhx3LhvOZQftvjTaPdvK2LbKIgPokmqcBtydUCwc7zm3WiAgh3VpbMhPXFibg97Z_684G6z-5x7ojv0LTAgJB-j34c6iqIO5ex3IjIXvI9cTimNQND_XZlPAM-2s1LzUuNjq4Q93Fvekf6GRpMw2NCfxHMe9eCtpzPvxthy6CieOzTbrb2mImkLSDVPZevHcy8nlk9LYazBElSgZsS-LRQqlZXanWIZ-PFuiaOqsefBZiqt5y09fsHZutrMSHx6_vXXj4_6z_gKVGP0s1Y4U2_W3lXEA0oxdVGppa7Mw6Sn8jaA1-xJSh5ImqIm27atV05EKNgjcHWfHv2u_KRXU5pDTugDSWHtrHrgZ3cLSUR5qWGUBxcC2-jzhVYpIM2m3ie3SyxpLx7gIMSjHwPuqZVD7IYB2OZ0x_mpfNa9tyu2pZlJrV-2BhFqUBie4IA3XiGT9pbqkmApKplO3HBQcpEaovXodQ_E1JHMwFcE2uENxHwMEqPmB7nV2mdCt&xkcb=SoDL-_M3I4no_eySxZ0GbzkdCdPP&p=13&fvj=0&vjs=3,15f75d1edc573188,PostedPosted 30+ days ago,2023-11-21T10:46:24.564Z,"Quel que soit le poste, cette aventure humaine permet à chaque collaborateur d’être force de proposition dans l’amélioration du produit, mais aussi de faire…",ng.indeed.com/applystart?jk=15f75d1edc573188
Account Officers,".css-1ihavw2{box-sizing:border-box;margin:0;min-width:0;display:-webkit-inline-box;display:-webkit-inline-flex;display:-ms-inline-flexbox;display:inline-flex;background-color:#f3f2f1;border-radius:0.25rem;-webkit-align-items:center;-webkit-box-align:center;-ms-flex-align:center;align-items:center;font-size:0.875rem;font-weight:700;line-height:1.3125rem;color:#595959;padding:0.1875rem 0.5rem;margin-right:0.25rem;margin-bottom:0.25rem;}.css-1ihavw2 svg{width:1rem;max-height:1.25rem;}[dir=""ltr""] .css-1ihavw2 svg:first-child{margin:0 0 0 0.25rem;}[dir=""rtl""] .css-1ihavw2 svg:first-child{margin:0 0 0 0.25rem;}.css-1ihavw2 svg.jobCardAQSignalIcon-check{margin:0 0 0 0.25rem;}₦80,000 - ₦140,000 a month",Full-time,,Chelis,Lagos,,https://ng.indeed.com/company/Chelis/jobs/Account-Officer-4f3100c0c7994f18?fccid=bf4c1482c0c34e79&vjs=3,4f3100c0c7994f18,EmployerActive 26 days ago,2023-11-21T10:46:24.565Z,"Maintain and update accounting records and files.
 Analyze budgets and create expense reports.
 Examine bank statements and reconcile them with general ledger…",ng.indeed.com/applystart?jk=4f3100c0c7994f18
Precision Data Entry Specialist,,,,Alchemy Telecommunications,Abuja,,https://ng.indeed.com/rc/clk?jk=5858e7b5b55a802b&fccid=dd616958bd9ddc12&vjs=3,5858e7b5b55a802b,PostedToday,2023-11-21T10:46:27.513Z,"Job Position: Precision Data Entry Specialist.
 As a precision data entry specialist, you will be the architect of timely and accurate data entry for client…",ng.indeed.com/applystart?jk=5858e7b5b55a802b
Admin Assistant,".css-1ihavw2{box-sizing:border-box;margin:0;min-width:0;display:-webkit-inline-box;display:-webkit-inline-flex;display:-ms-inline-flexbox;display:inline-flex;background-color:#f3f2f1;border-radius:0.25rem;-webkit-align-items:center;-webkit-box-align:center;-ms-flex-align:center;align-items:center;font-size:0.875rem;font-weight:700;line-height:1.3125rem;color:#595959;padding:0.1875rem 0.5rem;margin-right:0.25rem;margin-bottom:0.25rem;}.css-1ihavw2 svg{width:1rem;max-height:1.25rem;}[dir=""ltr""] .css-1ihavw2 svg:first-child{margin:0 0 0 0.25rem;}[dir=""rtl""] .css-1ihavw2 svg:first-child{margin:0 0 0 0.25rem;}.css-1ihavw2 svg.jobCardAQSignalIcon-check{margin:0 0 0 0.25rem;}₦90,000 - ₦120,000 a month",Full-time,,Venture Garden Group,Lagos,,https://ng.indeed.com/company/Venture-Garden-Group/jobs/Administrative-Assistant-76d20c7aa605b5c6?fccid=dbc0393c90a21adb&vjs=3,76d20c7aa605b5c6,EmployerActive 3 days ago,2023-11-21T10:46:27.513Z,"Handling office tasks, such as filing, generating reports and presentations, setting up for meetings, and reordering supplies.",ng.indeed.com/applystart?jk=76d20c7aa605b5c6
System Administrator,".css-1ihavw2{box-sizing:border-box;margin:0;min-width:0;display:-webkit-inline-box;display:-webkit-inline-flex;display:-ms-inline-flexbox;display:inline-flex;background-color:#f3f2f1;border-radius:0.25rem;-webkit-align-items:center;-webkit-box-align:center;-ms-flex-align:center;align-items:center;font-size:0.875rem;font-weight:700;line-height:1.3125rem;color:#595959;padding:0.1875rem 0.5rem;margin-right:0.25rem;margin-bottom:0.25rem;}.css-1ihavw2 svg{width:1rem;max-height:1.25rem;}[dir=""ltr""] .css-1ihavw2 svg:first-child{margin:0 0 0 0.25rem;}[dir=""rtl""] .css-1ihavw2 svg:first-child{margin:0 0 0 0.25rem;}.css-1ihavw2 svg.jobCardAQSignalIcon-check{margin:0 0 0 0.25rem;}₦250,000 - ₦300,000 a month",Full-time,,Workatlas Consult,Lagos,,https://ng.indeed.com/company/A-Reputable-Water-and-Environmental-Engineering-Organisation/jobs/Systems-Administrator-ac7f33231a20481e?fccid=52557c7cf5d691ac&vjs=3,ac7f33231a20481e,EmployerActive 4 days ago,2023-11-21T10:46:27.514Z,"The role of the M365 technical specialist is to work closely with our existing Technical Teams and operational business to support our dedicated, security…",ng.indeed.com/applystart?jk=ac7f33231a20481e
Office Assistant,".css-1ihavw2{box-sizing:border-box;margin:0;min-width:0;display:-webkit-inline-box;display:-webkit-inline-flex;display:-ms-inline-flexbox;display:inline-flex;background-color:#f3f2f1;border-radius:0.25rem;-webkit-align-items:center;-webkit-box-align:center;-ms-flex-align:center;align-items:center;font-size:0.875rem;font-weight:700;line-height:1.3125rem;color:#595959;padding:0.1875rem 0.5rem;margin-right:0.25rem;margin-bottom:0.25rem;}.css-1ihavw2 svg{width:1rem;max-height:1.25rem;}[dir=""ltr""] .css-1ihavw2 svg:first-child{margin:0 0 0 0.25rem;}[dir=""rtl""] .css-1ihavw2 svg:first-child{margin:0 0 0 0.25rem;}.css-1ihavw2 svg.jobCardAQSignalIcon-check{margin:0 0 0 0.25rem;}₦45,000 a month",Full-time,,erecruiterafrica,Lagos,,https://ng.indeed.com/company/Erecruiterafrica/jobs/Office-Assistant-3f77f99efdadf410?fccid=3e71170ffcf76d4b&vjs=3,3f77f99efdadf410,EmployerActive 14 days ago,2023-11-21T10:46:27.514Z,"Provide continuous support to the staff and administration.
 Organize and maintain office common areas.
 Ensure that all offices, entrances, and rooms are kept…",ng.indeed.com/applystart?jk=3f77f99efdadf410
Human Resources Intern,,,,HostVille Nigeria Enterprises Limited,Lagos,,https://ng.indeed.com/rc/clk?jk=2ddef10c3ba8858e&fccid=dd616958bd9ddc12&vjs=3,2ddef10c3ba8858e,PostedToday,2023-11-21T10:46:27.514Z,"The role requires the intern to support the various Human Resources functions within the organization.
 These include recruitment support, onboarding assistance,…",ng.indeed.com/applystart?jk=2ddef10c3ba8858e
Personal Assistant to MD,".css-1ihavw2{box-sizing:border-box;margin:0;min-width:0;display:-webkit-inline-box;display:-webkit-inline-flex;display:-ms-inline-flexbox;display:inline-flex;background-color:#f3f2f1;border-radius:0.25rem;-webkit-align-items:center;-webkit-box-align:center;-ms-flex-align:center;align-items:center;font-size:0.875rem;font-weight:700;line-height:1.3125rem;color:#595959;padding:0.1875rem 0.5rem;margin-right:0.25rem;margin-bottom:0.25rem;}.css-1ihavw2 svg{width:1rem;max-height:1.25rem;}[dir=""ltr""] .css-1ihavw2 svg:first-child{margin:0 0 0 0.25rem;}[dir=""rtl""] .css-1ihavw2 svg:first-child{margin:0 0 0 0.25rem;}.css-1ihavw2 svg.jobCardAQSignalIcon-check{margin:0 0 0 0.25rem;}₦130,000 a month",Full-time,,Kevinmooreventure,Asaba,,https://ng.indeed.com/company/Kevinmooreventure/jobs/Personal-Assistant-5d30b95b8a124fcb?fccid=d05be2f23c296c52&vjs=3,5d30b95b8a124fcb,PostedPosted 30+ days ago,2023-11-21T10:46:27.515Z,"Manage the day-to-day office tasks of the Managing Director.
 Maintain accurate calendars with an understanding of prioritizing important deliverables.",ng.indeed.com/applystart?jk=5d30b95b8a124fcb
Cashier,".css-1ihavw2{box-sizing:border-box;margin:0;min-width:0;display:-webkit-inline-box;display:-webkit-inline-flex;display:-ms-inline-flexbox;display:inline-flex;background-color:#f3f2f1;border-radius:0.25rem;-webkit-align-items:center;-webkit-box-align:center;-ms-flex-align:center;align-items:center;font-size:0.875rem;font-weight:700;line-height:1.3125rem;color:#595959;padding:0.1875rem 0.5rem;margin-right:0.25rem;margin-bottom:0.25rem;}.css-1ihavw2 svg{width:1rem;max-height:1.25rem;}[dir=""ltr""] .css-1ihavw2 svg:first-child{margin:0 0 0 0.25rem;}[dir=""rtl""] .css-1ihavw2 svg:first-child{margin:0 0 0 0.25rem;}.css-1ihavw2 svg.jobCardAQSignalIcon-check{margin:0 0 0 0.25rem;}₦100,000 - ₦120,000 a month",Full-time,,JSK Consulting Group,Lagos,,https://ng.indeed.com/company/JSK-CONSULTING-GROUP/jobs/Cashier-bcb6b3a06078062a?fccid=3da4c48d1c730ecc&vjs=3,bcb6b3a06078062a,EmployerActive 5 days ago,2023-11-21T10:46:27.515Z,"The ideal candidate will be responsible for;.
 Manage transactions with customers using cash registers.
 Scan goods and ensure pricing is accurate.",ng.indeed.com/applystart?jk=bcb6b3a06078062a
